Nome Região;Sigla UF;Sigla Região;2017;2016
CENTRO-OESTE;DF;CO;412976;416295
CENTRO-OESTE;GO;CO;534617;511589
CENTRO-OESTE;MS;CO;337048;302338
CENTRO-OESTE;MT;CO;343201;320689
NORDESTE;AL;NE;229376;234958
NORDESTE;BA;NE;1218559;1086880
NORDESTE;CE;NE;647797;680341
NORDESTE;MA;NE;564330;443828
NORDESTE;PB;NE;407308;408013
NORDESTE;PE;NE;632612;600913
NORDESTE;PI;NE;298154;276504
NORDESTE;RN;NE;307827;354439
NORDESTE;SE;NE;144040;186862
NORTE;AC;NO;85757;132250
NORTE;AM;NO;453237;455043
NORTE;AP;NO;110190;112445
NORTE;PA;NO;635210;557502
NORTE;RO;NO;94736;77006
NORTE;RR;NO;57038;53800
NORTE;TO;NO;197336;186335
SUDESTE;ES;SE;308501;259494
SUDESTE;MG;SE;1860288;1612750
SUDESTE;RJ;SE;1406170;1608811
SUDESTE;SP;SE;4203357;3926239
SUL;PR;SU;901839;925003
SUL;RS;SU;743080;769988
SUL;SC;SU;480648;407932
