Ano Censo	Número de Matrículas	Nome Região	Sigla UF	Sigla Região
2017	223334	CENTRO-OESTE	DF	CO
2017	251423	CENTRO-OESTE	GO	CO
2017	128910	CENTRO-OESTE	MS	CO
2017	168633	CENTRO-OESTE	MT	CO
2017	96901	NORDESTE	AL	NE
2017	432999	NORDESTE	BA	NE
2017	289158	NORDESTE	CE	NE
2017	173243	NORDESTE	MA	NE
2017	155588	NORDESTE	PB	NE
2017	271717	NORDESTE	PE	NE
2017	127257	NORDESTE	PI	NE
2017	116504	NORDESTE	RN	NE
2017	83289	NORDESTE	SE	NE
2017	36646	NORTE	AC	NO
2017	166098	NORTE	AM	NO
2017	47379	NORTE	AP	NO
2017	249928	NORTE	PA	NO
2017	76561	NORTE	RO	NO
2017	26002	NORTE	RR	NO
2017	71163	NORTE	TO	NO
2017	153610	SUDESTE	ES	SE
2017	845196	SUDESTE	MG	SE
2017	712755	SUDESTE	RJ	SE
2017	1993833	SUDESTE	SP	SE
2017	519398	SUL	PR	SU
2017	510238	SUL	RS	SU
2017	358575	SUL	SC	SU
