Ano Censo;Número de Instituições de Educação Superior;Nome Região;Sigla UF;Sigla Região
2017;4;CENTRO-OESTE;DF;CO
2017;8;CENTRO-OESTE;GO;CO
2017;4;CENTRO-OESTE;MS;CO
2017;3;CENTRO-OESTE;MT;CO
2017;4;NORDESTE;AL;NE
2017;10;NORDESTE;BA;NE
2017;7;NORDESTE;CE;NE
2017;3;NORDESTE;MA;NE
2017;4;NORDESTE;PB;NE
2017;28;NORDESTE;PE;NE
2017;3;NORDESTE;PI;NE
2017;5;NORDESTE;RN;NE
2017;2;NORDESTE;SE;NE
2017;2;NORTE;AC;NO
2017;3;NORTE;AM;NO
2017;3;NORTE;AP;NO
2017;6;NORTE;PA;NO
2017;2;NORTE;RO;NO
2017;3;NORTE;RR;NO
2017;5;NORTE;TO;NO
2017;5;SUDESTE;ES;SE
2017;23;SUDESTE;MG;SE
2017;27;SUDESTE;RJ;SE
2017;101;SUDESTE;SP;SE
2017;13;SUL;PR;SU
2017;10;SUL;RS;SU
2017;8;SUL;SC;SU
