Região;UF;Categoria Administrativa;Sub Categoria Administrativa;2017;2016
CENTRO-OESTE;DISTRITO FEDERAL;PÚBLICA;FEDERAL;13253;15284
CENTRO-OESTE;GOIÁS;PÚBLICA;FEDERAL;34898;33090
CENTRO-OESTE;MATO GROSSO;PÚBLICA;FEDERAL;17113;14559
CENTRO-OESTE;MATO GROSSO DO SUL;PÚBLICA;FEDERAL;18086;17578
NORDESTE;ALAGOAS;PÚBLICA;FEDERAL;12427;11525
NORDESTE;BAHIA;PÚBLICA;FEDERAL;40939;32613
NORDESTE;CEARÁ;PÚBLICA;FEDERAL;32673;27747
NORDESTE;MARANHÃO;PÚBLICA;FEDERAL;23453;17153
NORDESTE;PARAÍBA;PÚBLICA;FEDERAL;23923;27622
NORDESTE;PERNAMBUCO;PÚBLICA;FEDERAL;37998;34064
NORDESTE;PIAUÍ;PÚBLICA;FEDERAL;23689;15328
NORDESTE;RIO GRANDE DO NORTE;PÚBLICA;FEDERAL;21300;17982
NORDESTE;SERGIPE;PÚBLICA;FEDERAL;7511;8212
NORTE;ACRE;PÚBLICA;FEDERAL;4149;3634
NORTE;AMAPÁ;PÚBLICA;FEDERAL;2564;3173
NORTE;AMAZONAS;PÚBLICA;FEDERAL;12973;11895
NORTE;PARÁ;PÚBLICA;FEDERAL;20119;20196
NORTE;RONDÔNIA;PÚBLICA;FEDERAL;4976;5593
NORTE;RORAIMA;PÚBLICA;FEDERAL;3440;3174
NORTE;TOCANTINS;PÚBLICA;FEDERAL;12930;13049
SUDESTE;ESPÍRITO SANTO;PÚBLICA;FEDERAL;12245;10854
SUDESTE;MINAS GERAIS;PÚBLICA;FEDERAL;89361;79623
SUDESTE;RIO DE JANEIRO;PÚBLICA;FEDERAL;64355;64489
SUDESTE;SÃO PAULO;PÚBLICA;FEDERAL;147465;126491
SUL;PARANÁ;PÚBLICA;FEDERAL;58988;50020
SUL;RIO GRANDE DO SUL;PÚBLICA;FEDERAL;47602;45796
SUL;SANTA CATARINA;PÚBLICA;FEDERAL;35399;40093
